MESSENGER_TEAM	Team
HALLOWEEN_EVENT	Halloween
EVENT_MANAGER_WINDOW_TITLE	Kalendarz eventów: %s - %d
ALL_CHANNEL	Wszystkie kana³y
ONLY_CHANNEL	Kana³: %d
BONUS_EVENT	Bonus Event:
BONUS_END_IN	%s
BONUS_START_IN	%s
BONUS_NEXT_EVENT	|Eemoji/key_rclick|e - Nastêpny Event
ITEM_DROP_EVENT	Zwiêkszony drop: %d%%
YANG_DROP_EVENT	Zwiêkszony drop Yang: %d%%
EXP_EVENT	Zwiêkszony EXP: %d%%
EVENT_MONTH_1	Styczeñ
EVENT_MONTH_2	Luty
EVENT_MONTH_3	Marzec
EVENT_MONTH_4	Kwiecieñ
EVENT_MONTH_5	Maj
EVENT_MONTH_6	Czerwiec
EVENT_MONTH_7	Lipiec
EVENT_MONTH_8	Sierpieñ
EVENT_MONTH_9	Wrzesieñ
EVENT_MONTH_10	PaŸdziernik
EVENT_MONTH_11	Listopad
EVENT_MONTH_12	Grudzieñ
EXTENDET_BATTLE_PASS_ITS_NOT_BATTLEPASS_ITEM	Das ist kein Premium Battle-Pass Ticket! Du kannst das hier nicht ablegen.
EXTENDET_BATTLE_PASS_RANKLIST_REFRESH	Die Rankliste wurde aktualisiert.
EXTENDET_BATTLE_PASS_RANKLIST_WAIT_TO_REFRESH	Du musst noch %d Sekunden warten um die Rankliste erneut zu aktualisieren.
COLLECTION_SEND_ALL_TOOLTIP	 - Oddaj wszystkie
COLLECITON_SEND_TOOLTIP	 - Oddaj przedmiot
COLLECTION_THIS_ITEM_IS_COLLECTED	Ten przedmiot zosta³ ju¿ oddany.
COLLECTIONS_NOT_COLLECTED	Not collected
COLLECTIONS_COLLECTED	Collected!
COLLECTION_MAIN_COMPLETE	Status: Oddany.
COLLECTION_MAIN_NOT_COMPLETE	Status: Nieoddany.
COLLECTION_PROGRESS	Progres: {}%.
COLLECTION_PERCENT	Adding chance: {}%.
COLLECTION_PERCENT_INCREASED	Adding chance: {}% + {}%.
COLLECTION_ORE_1	Bojownik
COLLECTION_ORE_2	Ulepiarz (I)
COLLECTION_ORE_3	Ulepiarz (II)
COLLECTION_ORE_4	Ulepiarz (III)
COLLECTION_ORE_5	Ulepiarz (IV)
COLLECTION_ORE_6	Ulepiarz (V)
CHATTING_SETTING_ADD	Add tab
CHATTING_SETTING_ADD_MAX	You cannot add any more.
CHATTING_SETTING_CHANGE_TITLE_NAME	Would you like to save the name for this chat?
CHATTING_SETTING_CHANGE_TITLE_NOT	The name of the general chat cannot be changed.
CHATTING_SETTING_CLEAR_QUESTION	Reset?
CHATTING_SETTING_DEL	Delete field
CHATTING_SETTING_LANGUAGE_OFF	Off
CHATTING_SETTING_LANGUAGE_ON	On
CHATTING_SETTING_QUESTION_DESC_1	1. Set a message for EXP gained from killing monsters or lost EXP.
CHATTING_SETTING_QUESTION_DESC_2	2. Set a message for dropped loot and earned Yang.
CHATTING_SETTING_RETURN	Restore field
CHATTING_SETTING_SETTING	Settings
DONT_HAVE_MISSIONS	Brak aktywnych badañ
TOOLTIP_APPLY_1	Umo¿liwia wzmocnienie 
TOOLTIP_APPLY_2	zwierzaka bonusami PvP: 
TOOLTIP_APPLY_3	zwierzaka bonusami PVM: 
TOOLTIP_APPLY_4	kostiumu bonusami PvP: 
TOOLTIP_APPLY_5	kostiumu bonusami PVM: 
TOOLTIP_APPLY_6	fryzury bonusami PvP: 
TOOLTIP_APPLY_7	fryzury bonusami PVM: 
TOOLTIP_APPLY_33050_1	Silny przeciwko Potworom +15%
TOOLTIP_APPLY_33050_2	Wartoœæ Ataku +75
TOOLTIP_APPLY_33050_3	Œrednie Obra¿enia 5%
TOOLTIP_APPLY_33051_1	Max P¯ +2000
TOOLTIP_APPLY_33051_2	Silny przeciwko Ludziom +15%
TOOLTIP_APPLY_33051_3	Wartoœæ Ataku +75
TOOLTIP_APPLY_33052_1	Max P¯ +2500
TOOLTIP_APPLY_33052_2	Punkty Doœwiadczenia +15%
TOOLTIP_APPLY_33052_3	Silny przeciwko Potworom +10%
TOOLTIP_APPLY_33053_1	Max P¯ +2500
TOOLTIP_APPLY_33053_2	Silny przeciwko Ludziom +10%
TOOLTIP_APPLY_33053_3	Obra¿enia Umiejêtnoœci +5%
TOOLTIP_APPLY_33054_1	Silny przeciwko Potworom +10%
TOOLTIP_APPLY_33054_2	Odpornoœæ na Potwory +5%
TOOLTIP_APPLY_33054_3	Œrednie Obra¿enia 5%
TOOLTIP_APPLY_33055_1	Max P¯ +2500
TOOLTIP_APPLY_33055_2	Silny przeciwko Ludziom +10%
TOOLTIP_APPLY_33055_3	Szybkoœæ Zaklêcia +15%
TOOLTIP_APPLY_33056_0	Wartoœæ Ataku +100
TOOLTIP_APPLY_33056_1	Obra¿enia Umiejêtnoœci: +10%
TOOLTIP_APPLY_33056_2	Silny przeciwko Ludziom +10%
TOOLTIP_APPLY_33057_0	Wartoœæ Ataku +100
TOOLTIP_APPLY_33057_1	Œrednie obra¿enia: +10%
TOOLTIP_APPLY_33057_2	Silny przeciwko Potworom +10%
TOOLTIP_APPLY_33058_0	Silny przeciwko Ludziom +10%
TOOLTIP_APPLY_33059_0	Silny przeciwko Potworom +10%
PKT_OSIAG_LOCALE_GAME	PO
PKT_OSIAG_PICK_POINT	%d punkty osi¹gniêæ. 	
PKT_OSIAG_SYSTEM_PICK_PKT_OSIAG	testtest: %d	
DETACH_METIN_ASK	Czy chcesz wyci¹gn¹æ %s z %s?
MINI_GAME_RUMI_DISCARD_QUESTION	Czy chcesz wyrzuciæ kartê?
MINI_GAME_RUMI_EXIT_QUESTION	Czy chcesz zakoñczyæ grê?
MINI_GAME_RUMI_EXIT_QUESTION2	Aktualne punkty zostan¹ wymienione na nagrodê.
MINI_GAME_RUMI_START_QUESTION	Potrzebujesz %d Yang oraz %d Zestaw Kart Okey.
MINI_GAME_RUMI_START_QUESTION2	Chcesz zagraæ?
CHEST_DROP_INFO	|Eemoji/key_ctrl|e + |Eemoji/key_shift|e + |Eemoji/key_rclick|e
CHEST_BASE_DROP_INFO	|Eemoji/key_ctrl|e + |Eemoji/key_shift|e + |Eemoji/key_rclick|e - See chests containing this item.
ARTEFAKT_LEGENDARY_ITEM	[Przedmiot Legendarny]
AFFECTSHOWER_REMOVE_TEXT	|Eemoji/key_lclick|e - Kliknij aby usun¹æ efekt.
AFFECT_REMOVE_QUESTION	Czy na pewno chcesz usun¹æ %s?
SKILL_AFFECT_REMOVE_QUESTION	Czy na pewno chcesz to usun¹æ?
POLYMORPH_AFFECT_TOOLTIP	Polimorfia	SNA
TOOLTIP_APPLY_RANDOM	TOOLTIP_APPLY_RANDOM +%d%%	SA
DUNGEON_INFO_TOOL_TIP_01	In this window you can find all the available dungeons.
DUNGEON_INFO_TOOL_TIP_02	Each dungeon listed in the left panel shows various
DUNGEON_INFO_TOOL_TIP_03	information about it as well as showing which items
DUNGEON_INFO_TOOL_TIP_04	the finall boss drops.
DUNGEON_INFO_TOOL_TIP_05	You are also able to teleport to the entrance of the
DUNGEON_INFO_TOOL_TIP_06	dungeon if it's available.
DUNGEON_INFO_TOOL_TIP_07	In the right panel you can find your results as well
DUNGEON_INFO_TOOL_TIP_08	as the global ranking of the top 10 players.
REMOVE_ITEM_DO_YOU_REMOVE	Czy na pewno chcesz usun¹æ wybrane przedmioty?
STATUS_GUI_TXT	Iloœæ:
GAME_PICK_CHEQUE	Otrzyma³eœ %d Won.
DROP_CHEQUE_FAILURE_1000_OVER	You can drop a maximum of 999 Won.
DO_YOU_DROP_CHEQUE	¿Do you want drop %d Won?
CHEQUE_SYSTEM_UNIT_WON	Won
CHEQUE_ONLY_VALUE	Mo¿esz wprowadziæ tylko liczbê.
CHEQUE_NO_ADD_SALE_PRICE	Musisz podaæ co najmniej jedn¹ cenê sprzeda¿y. Jeœli nie chcesz podawaæ ceny, wpisz „0”.
CHEQUE_SYSTEM_SELL_PRICE	[Cena sprzeda¿y]
CHEQUE_SYSTEM_YANG	%s 
CHEQUE_SYSTEM_WON	%s 
ACCE_REFINE_COST	Cena: %d
WONEXCHANGE_CONFIRM_QUESTION_1	Sprzedajesz %d Won za %s Yang.
WONEXCHANGE_CONFIRM_QUESTION_2	Kupujesz %d Won za %s Yang.
WONEXCHANGE_CONFIRM_QUESTION_3	Kontynuowaæ?
DO_YOU_SELL_ITEM1	Czy chcesz sprzedaæ %s za %s Yang?
DO_YOU_SELL_ITEM2	Czy chcesz sprzedaæ %s (%s) za %s Yang?
CHEQUE_SYSTEM_DO_NOT_DROP_MONEY	You can't drop money.
CHEQUE_SYSTEM_UNIT_CHEQUE	Won
CHEQUE_SYSTEM_UNIT_YANG	Yang
CHEQUE_SYSTEM_CHEQUE	%s Won
SHOP_NOT_ENOUGH_CHEQUE	Masz za ma³o Won.
SHOP_NOT_ENOUGH_PKT_OSIAG	Masz za ma³o Punktów osi¹gniêæ.
SHOP_NOT_ENOUGH_MONEY_CHEQUE	Nie masz wystarczaj¹co doœæ Won lub Yang.
DO_YOU_BUY_ITEM1_CHEQUE	Czy chcesz kupiæ %s za %s Won i %s Yang?
DO_YOU_BUY_ITEM2_CHEQUE	Czy chcesz kupiæ %s (%s) za %s Won i %s Yang?
DO_YOU_DROP_CHEQUE	Do you want drop %d Won?
DO_YOU_BUY_ITEM1_CHEQUE1	Czy chcesz kupiæ %s za %s i 0 Yang?
DO_YOU_BUY_ITEM2_CHEQUE1	Czy chcesz kupiæ %s (%s) za %s i 0 Yang?
INVENTORY_SKILL_BOOK_TOOLTIP	Ksiêgi	
INVENTORY_STONE_TOOLTIP	KD i Alchemia
INVENTORY_BOX_TOOLTIP	Skrzynie
INVENTORY_EFSUN_TOOLTIP	Przedmioty u¿ytkowe
CATEGORY_ULEP	Ulepszacze
CATEGORY_ALCHEMY	Alchemia
CATEGORY_WSPOMAGACZE	Wspomagacze
CATEGORY_RIPER	Od³amek Ripera
CATEGORY_WOJNY	Od³amek Wojny
CATEGORY_ZWIERZAK	Zwierzak
CATEGORY_PASY	Pasy
CATEGORY_LEGEKD	Legendarne KD
CATEGORY_OWOCE	Ranga
CATEGORY_UM_PASYWNE	Um. Pasywne
CATEGORY_POMOCNIK	Pomocnik
CATEGORY_PRZEPUSTKI	Przepustki
CATEGORY_REKAWICE	Rêkawice
CATEGORY_MISJE	Misje
CUBE_CATEGORY_ETC	WORLDARD
INVENTORY_CICEK_TOOLTIP	Mikstury
INVENTORY_UPGRADE_ITEM_TOOLTIP	Ulepszacze
MALZEME_DEPOSU	Informacja:	
BK_ENVANTER_TEXT1	Ten ekwipunek dzia³a niezale¿nie od zwyk³ego ekwipunku.
BK_ENVANTER_TEXT2	Nie mo¿esz przeci¹gn¹æ przedmiotu z tego ekwipunku do zwyk³ego ekwipunku.
BK_ENVANTER_TEXT3	
BK_ENVANTER_TEXT4	Ka¿dy przedmiot ma swoj¹ oddzieln¹ kategoriê.
BK_ENVANTER_TEXT5	Ka¿da kategoria ma 3 dostêpne do u¿ytku strony.
BK_ENVANTER_TEXT6		
ENVANTER_ILE_AC	Otwieraj wraz z ekwipunkiem
DUNGEON_INFO_TOOL_TIP	Wyprawy
POLYMORPH_AFFECT_REMOVE_QUESTION	Czy na pewno chcesz usun¹æ Polimorfiê?
BUFF_AFFECT_REMOVE_QUESTION	Czy na pewno chcesz usun¹æ %s?
DUNGEON_INFO_STATUS_CLOSED	Niedostêpne
DUNGEON_INFO_STATUS_AVAILABLE	Dostêpne
DUNGEON_INFO_STATUS_COOLDOWN	Odczekaj
DUNGEON_INFO_STATUS_HIGH_LEVEL	Za ma³y poziom!
DUNGEON_INFO_STATUS_LOW_LEVEL	Zbyt du¿y poziom!
DUNGEON_INFO_DO_YOU_TELEPORT	Czy chcesz teleportowaæ siê do %s?
DUNGEON_INFO_ELEMENT_ATK_BONUS	Dzia³aj¹cy bonus
DUNGEON_INFO_ELEMENT_DEF_AND_RES_BONUS	Defense and Resistance Bonus
DUNGEON_INFO_ELEMENT_UNKOWN_BONUS	Unkown bonus required
DUNGEON_INFO_TYPE_01	Globalny
DUNGEON_INFO_TYPE_02	Grupa
DUNGEON_INFO_TYPE_03	Gildia
DUNGEON_INFO_TYPE	Typ: %s
DUNGEON_INFO_LEVEL_LIMIT	Limit Lvl: %d do %d
DUNGEON_INFO_PARTY_LIMIT	Limit cz³onków grupy: od %d do %d
DUNGEON_INFO_DURATION	Czas trwania: %s
DUNGEON_INFO_LOCATION	Lokacja: %s
DUNGEON_INFO_ENTRACE	Wejœcie: %s
DUNGEON_INFO_TOTAL_FINISHED	Ukoñczenia: %d
DUNGEON_INFO_FASTEST_TIME	Najszybszy Czas: %s
DUNGEON_INFO_HIGHEST_DMG	Najwy¿sze DMG: %s

DUNGEON_INFO_COOLDOWN	Cooldown: %s
DUNGEON_INFO_NONE	None
DUNGEON_INFO_MINIMAP_TOOL_TIP	Dungeon Information
DUNGEON_INFO_NOT_FOUND	No dungeons have been found.
DUNGEON_RANKING_TOTAL_FINISHED	Ukoñczenia
DUNGEON_RANKING_FASTEST_TIME	Czas
DUNGEON_RANKING_HIGHEST_DMG	DMG
DUNGEON_RANKING_POINTS	Points
RESP_PAGE_COUNT	Strona %d / %d
RESP_AVAILABLE	Dostêpny
RESP_MOB_TITLE	Podgl¹d wygl¹du celu
RESP_MOB_TEXT	Gdy opcja jest zaznaczona, po wybraniu celu zobaczysz jego wygl¹d po lewej stronie okna.
RESP_RESP_TITLE	Podgl¹d mapy
RESP_RESP_TEXT	Gdy opcja jest zaznaczona, po najechaniu kursorem na przycisk teleportacji uka¿e siê mapa z lokalizacj¹ celu.
RESP_DROP_TITLE	Informacje o potworze
RESP_DROP_TEXT	Wciœnij przycisk, aby prze³¹czyæ siê pomiêdzy list¹ lokalizacji celu lub przedmiotów mo¿liwych do zdobycia.
SWITCHBOT_TITLE	Switchbot
SWITCHBOT_START	Start
SWITCHBOT_STOP	Stop
SWITCHBOT_EMPTY_ATTR	- Musisz ustawiæ bonus -
SWITCHBOT_SELECT_ATTR	Wybierz bonus
SWITCHBOT_CLEAR_ATTR	Usuñ bonus
SWITCHBOT_CONFIGURATION_TITLE	Twoje szablon
SWITCHBOT_SAVE_BUTTON	Otwórz Szablony
SWITCHBOT_SAVE	Zapisz
SWITCHBOT_LOAD_CONFIGURATION	Za³aduj
SWITCHBOT_CLEAR_CONFIGURATION	Usuñ
PET_DESC1	Doœwiadczenie
PET_DESC2	Wym. Doœwiadczenie
PET_DESC3	Ekwipunek
PET_DESC4	Twój Zwierzak
PET_DESC5	Doœwiadczenie
PET_DESC6	Dostêpne
PET_SKILL_1	Witalnoœæ
PET_SKILL_2	Berserk
PET_SKILL_3	Walecznoœæ
PET_SKILL_4	Skupienie
PET_SKILL_5	Potêga
PET_SKILL_6	Wszechmoc
PET_SKILL_7	Absorpcja
PET_SKILL_8	Furia
PET_SKILL_9	Pancernoœæ
PET_SKILL_10	Przebicie
PET_SKILL_11	Bossmistrz
PET_SKILL_12	---
PET_NEW_NAME	Zmieñ nazwê
PET_NEW_NAME_CHANGE_BUTTON	Zmieñ
PET_NAME_WINDOW	Pet
DEFAULT_PET_NAME	Pet
PET_NAME_SKILLS_UI	Umiejêtnoœci
PET_POINT_AV	(0)
TELEPORT_DELAY	Poczekaj %d sek. przed kolejn¹ teleportacj¹!
TELEPORTWINDOW_REQ_GOLD	Z³oto
TELEPORTWINDOW_REQ_LEVEL	Poziom
TELEPORTWINDOW_LOCATIONS	Lokacje
TELEPORTWINDOW_DUNGEONS	Lochy
TELEPORTWINDOW_OTHERS	Pozosta³e
TELEPORTWINDOW_CUSTOM	W³asne
MAP_A1	Shinsoo M1
MAP_A2	Shinsoo M2
MAP_THREEWAY	Dolina Orków
MAP_PAJAKI	Loch Paj¹ków
MAP_75	Dolina Cyklopów
MAP_PUSTYNIA	Pustkowie Faraona
MAP_SNOW	MroŸna Kraina
MAP_ZACZAROWANY	Zaczarowany Las
MAP_OGNISTA	Ognista Ziemia
MAP_SOHAN	Góra Sohan
MAP_LAS	Las Duchów
MAP_B1	Pierwsza Wioska (Shinsoo)
MAP_B2	Druga Wioska (Shinsoo)
MAP_C1	Jinno M1
MAP_C2	Jinno M2
MAP_GUILD_1	Przeklêty Obszar (Jinno)
MAP_GUILD_2	Przeklêty Obszar (Shinsoo)
MAP_GUILD_3	Przeklêty Obszar (Chunjo)
MAP_MONKEYDUNGEON_1_A	£atwy Loch Ma³p (Jinno)
MAP_MONKEYDUNGEON_1_B	£atwy Loch Ma³p (Shinsoo)
MAP_MONKEYDUNGEON_1_C	£atwy Loch Ma³p (Chunjo)
